Sr No,Sku,Date,Event Type,From Facility,To Facility,Qty,Good Stock Opening,Good Stock Closing,Bad Stock Opening,Bad Stock Closing,Entity,Object,Action,User
39,1241,01-02-2021 14:04:37,Stock Blocked,All defective,,1,1,1,0,0,Order,Offline Sale00003506,Stock blocked for new order Offline Sale00003506,akshayjoshi5423@gmail.com
40,41588,01-02-2021 14:04:37,Stock Blocked,All defective,,1,1,1,0,0,Order,Offline Sale00003506,Stock blocked for new order Offline Sale00003506,akshayjoshi5423@gmail.com
41,41467,01-02-2021 14:04:37,Stock Blocked,All defective,,1,1,1,0,0,Order,Offline Sale00003506,Stock blocked for new order Offline Sale00003506,akshayjoshi5423@gmail.com
42,41588,01-02-2021 14:05:02,Reduce Stock,All defective,,1,1,0,0,0,Order,Offline Sale00003506,Stock reduced for shipped order Offline Sale00003506,akshayjoshi5423@gmail.com
43,40557,01-02-2021 14:05:02,Reduce Stock,All defective,,1,1,0,0,0,Order,Offline Sale00003506,Stock reduced for shipped order Offline Sale00003506,akshayjoshi5423@gmail.com
44,42210,01-02-2021 14:05:02,Reduce Stock,All defective,,1,1,0,0,0,Order,Offline Sale00003506,Stock reduced for shipped order Offline Sale00003506,akshayjoshi5423@gmail.com
45,1241,01-02-2021 14:05:02,Reduce Stock,All defective,,1,1,0,0,0,Order,Offline Sale00003506,Stock reduced for shipped order Offline Sale00003506,akshayjoshi5423@gmail.com
46,41026,01-02-2021 14:05:02,Reduce Stock,All defective,,1,1,0,0,0,Order,Offline Sale00003506,Stock reduced for shipped order Offline Sale00003506,akshayjoshi5423@gmail.com
47,41110,01-02-2021 14:05:02,Reduce Stock,All defective,,4,5,1,0,0,Order,Offline Sale00003506,Stock reduced for shipped order Offline Sale00003506,akshayjoshi5423@gmail.com
48,30709,01-02-2021 14:05:02,Reduce Stock,All defective,,1,1,0,0,0,Order,Offline Sale00003506,Stock reduced for shipped order Offline Sale00003506,akshayjoshi5423@gmail.com
49,41467,01-02-2021 14:05:02,Reduce Stock,All defective,,1,1,0,0,0,Order,Offline Sale00003506,Stock reduced for shipped order Offline Sale00003506,akshayjoshi5423@gmail.com
50,Sys-HT800-Blk,01-02-2021 14:40:44,Add Stock,All defective,,1,17,18,0,0,GRN,GRN19466,Stock added for grn GRN19466,akshayjoshi5423@gmail.com
51,41587,01-02-2021 14:40:44,Add Stock,All defective,,1,0,1,0,0,GRN,GRN19466,Stock added for grn GRN19466,akshayjoshi5423@gmail.com
52,Maha-Wht-Ele-Kett-Viva-1-8-Sil-Blk,01-02-2021 14:40:44,Add Stock,All defective,,1,6,7,0,0,GRN,GRN19466,Stock added for grn GRN19466,akshayjoshi5423@gmail.com
53,Sujata-Powermatic-Plus-CH-900-WH,01-02-2021 14:40:44,Add Stock,All defective,,1,13,14,0,0,GRN,GRN19466,Stock added for grn GRN19466,akshayjoshi5423@gmail.com
54,1558,01-02-2021 14:40:44,Add Stock,All defective,,1,8,9,0,0,GRN,GRN19466,Stock added for grn GRN19466,akshayjoshi5423@gmail.com
55,35035,01-02-2021 14:40:44,Add Stock,All defective,,1,1,2,0,0,GRN,GRN19466,Stock added for grn GRN19466,akshayjoshi5423@gmail.com
56,1319,01-02-2021 14:40:44,Add Stock,All defective,,1,1,2,0,0,GRN,GRN19466,Stock added for grn GRN19466,akshayjoshi5423@gmail.com
57,Pana-SR-WA10-2.7,01-02-2021 14:51:58,Add Stock,All defective,,1,0,1,0,0,GRN,GRN19467,Stock added for grn GRN19467,akshayjoshi5423@gmail.com
58,SR-WA18-E,01-02-2021 14:53:10,Stock Blocked,All defective,,1,3,3,0,0,Order,Offline Sale00003507,Stock blocked for new order Offline Sale00003507,akshayjoshi5423@gmail.com
59,Glima-Oximeter,01-02-2021 14:53:10,Stock Blocked,All defective,,12,267,267,0,0,Order,Offline Sale00003507,Stock blocked for new order Offline Sale00003507,akshayjoshi5423@gmail.com
60,Glima-infa-Ther-Blu,01-02-2021 14:53:10,Stock Blocked,All defective,,12,13,13,0,0,Order,Offline Sale00003507,Stock blocked for new order Offline Sale00003507,akshayjoshi5423@gmail.com
61,Real-buds-air-neo-blu-tru-wir-hea-Wht,01-02-2021 14:53:10,Stock Blocked,All defective,,1,4,4,0,0,Order,Offline Sale00003507,Stock blocked for new order Offline Sale00003507,akshayjoshi5423@gmail.com
62,baj-maj-neo-icx-cook-blk,01-02-2021 14:53:10,Stock Blocked,All defective,,1,3,3,0,0,Order,Offline Sale00003507,Stock blocked for new order Offline Sale00003507,akshayjoshi5423@gmail.com
63,Pig-Stv-Non-Stk-Biri-Pot-4-L,01-02-2021 14:53:10,Stock Blocked,All defective,,1,1,1,0,0,Order,Offline Sale00003507,Stock blocked for new order Offline Sale00003507,akshayjoshi5423@gmail.com
64,1180,01-02-2021 14:53:10,Stock Blocked,All defective,,1,1,1,0,0,Order,Offline Sale00003507,Stock blocked for new order Offline Sale00003507,akshayjoshi5423@gmail.com
65,1177,01-02-2021 14:53:10,Stock Blocked,All defective,,1,2,2,0,0,Order,Offline Sale00003507,Stock blocked for new order Offline Sale00003507,akshayjoshi5423@gmail.com
66,Pana-SR-WA10-2.7,01-02-2021 14:53:10,Stock Blocked,All defective,,1,1,1,0,0,Order,Offline Sale00003507,Stock blocked for new order Offline Sale00003507,akshayjoshi5423@gmail.com
67,Maha-Wht-HB-116-Wht-Red,01-02-2021 14:53:10,Stock Blocked,All defective,,1,5,5,0,0,Order,Offline Sale00003507,Stock blocked for new order Offline Sale00003507,akshayjoshi5423@gmail.com
68,Won-5-Blad-Strg-Chop-Red-Wht,01-02-2021 14:53:10,Stock Blocked,All defective,,1,18,18,0,0,Order,Offline Sale00003507,Stock blocked for new order Offline Sale00003507,akshayjoshi5423@gmail.com
69,Maha-Wht-HB-115-Wht-Red,01-02-2021 14:53:10,Stock Blocked,All defective,,1,1,1,0,0,Order,Offline Sale00003507,Stock blocked for new order Offline Sale00003507,akshayjoshi5423@gmail.com
70,Pan-KX-TSC62-SXW-Cod-Tel,01-02-2021 14:53:10,Stock Blocked,All defective,,1,2,2,0,0,Order,Offline Sale00003507,Stock blocked for new order Offline Sale00003507,akshayjoshi5423@gmail.com
71,Won-5-Blad-Strg-Chop-Red-Wht,01-02-2021 14:54:01,Reduce Stock,All defective,,1,18,17,0,0,Order,Offline Sale00003507,Stock reduced for shipped order Offline Sale00003507,akshayjoshi5423@gmail.com
72,Pan-KX-TSC62-SXW-Cod-Tel,01-02-2021 14:54:01,Reduce Stock,All defective,,1,2,1,0,0,Order,Offline Sale00003507,Stock reduced for shipped order Offline Sale00003507,akshayjoshi5423@gmail.com
73,Glima-infa-Ther-Blu,01-02-2021 14:54:01,Reduce Stock,All defective,,12,13,1,0,0,Order,Offline Sale00003507,Stock reduced for shipped order Offline Sale00003507,akshayjoshi5423@gmail.com
74,Glima-Oximeter,01-02-2021 14:54:01,Reduce Stock,All defective,,12,267,255,0,0,Order,Offline Sale00003507,Stock reduced for shipped order Offline Sale00003507,akshayjoshi5423@gmail.com
75,1180,01-02-2021 14:54:01,Reduce Stock,All defective,,1,1,0,0,0,Order,Offline Sale00003507,Stock reduced for shipped order Offline Sale00003507,akshayjoshi5423@gmail.com
76,Maha-Wht-HB-116-Wht-Red,01-02-2021 14:54:01,Reduce Stock,All defective,,1,5,4,0,0,Order,Offline Sale00003507,Stock reduced for shipped order Offline Sale00003507,akshayjoshi5423@gmail.com
77,1177,01-02-2021 14:54:01,Reduce Stock,All defective,,1,2,1,0,0,Order,Offline Sale00003507,Stock reduced for shipped order Offline Sale00003507,akshayjoshi5423@gmail.com
78,Maha-Wht-HB-115-Wht-Red,01-02-2021 14:54:01,Reduce Stock,All defective,,1,1,0,0,0,Order,Offline Sale00003507,Stock reduced for shipped order Offline Sale00003507,akshayjoshi5423@gmail.com
79,SR-WA18-E,01-02-2021 14:54:01,Reduce Stock,All defective,,1,3,2,0,0,Order,Offline Sale00003507,Stock reduced for shipped order Offline Sale00003507,akshayjoshi5423@gmail.com
80,baj-maj-neo-icx-cook-blk,01-02-2021 14:54:01,Reduce Stock,All defective,,1,3,2,0,0,Order,Offline Sale00003507,Stock reduced for shipped order Offline Sale00003507,akshayjoshi5423@gmail.com
81,Real-buds-air-neo-blu-tru-wir-hea-Wht,01-02-2021 14:54:01,Reduce Stock,All defective,,1,4,3,0,0,Order,Offline Sale00003507,Stock reduced for shipped order Offline Sale00003507,akshayjoshi5423@gmail.com
82,Pana-SR-WA10-2.7,01-02-2021 14:54:02,Reduce Stock,All defective,,1,1,0,0,0,Order,Offline Sale00003507,Stock reduced for shipped order Offline Sale00003507,akshayjoshi5423@gmail.com
83,Pig-Stv-Non-Stk-Biri-Pot-4-L,01-02-2021 14:54:02,Reduce Stock,All defective,,1,1,0,0,0,Order,Offline Sale00003507,Stock reduced for shipped order Offline Sale00003507,akshayjoshi5423@gmail.com
84,Eureak-Fob-Amaze-7L-Water-Purifier,01-02-2021 14:57:03,Stock Blocked,All defective,,3,4,4,0,0,Order,Offline Sale00003508,Stock blocked for new order Offline Sale00003508,akshayjoshi5423@gmail.com
85,Eureak-Fob-Amaze-7L-Water-Purifier,01-02-2021 14:57:38,Reduce Stock,All defective,,3,4,1,0,0,Order,Offline Sale00003508,Stock reduced for shipped order Offline Sale00003508,akshayjoshi5423@gmail.com
86,410167-BAJ-GLO-500W-MIX-GRN,01-02-2021 15:00:04,Stock Blocked,Flipkart_smart fullfilment,,1,1,1,20,20,Order,OD120904517643406000/12090451764340600,Stock blocked for new order OD120904517643406000/12090451764340600,
87,410167-BAJ-GLO-500W-MIX-GRN,02-02-2021 02:30:13,Stock Blocked,Flipkart_smart fullfilment,,1,1,1,20,20,Order,OD120905149013733000/12090514901373300,Stock blocked for new order OD120905149013733000/12090514901373300,
88,08466-424,02-02-2021 02:30:13,Stock Blocked,Flipkart_smart fullfilment,,1,1,1,0,0,Order,OD120905757131221000/12090575713122100,Stock blocked for new order OD120905757131221000/12090575713122100,
89,08466-424,02-02-2021 02:30:14,Stock Blocked,Flipkart_smart fullfilment,,1,1,1,0,0,Order,OD120905460887457000/12090546088745700,Stock blocked for new order OD120905460887457000/12090546088745700,
90,08466-424,02-02-2021 02:30:14,Stock Blocked,Flipkart_smart fullfilment,,1,1,1,0,0,Order,OD120905097478534000/12090509747853400,Stock blocked for new order OD120905097478534000/12090509747853400,
91,410176-BAJ-GX3-500W-MIX-GRN,02-02-2021 03:30:10,Stock Blocked,Flipkart_smart fullfilment,,1,2,2,3,3,Order,OD220909064802100000/22090906480210000,Stock blocked for new order OD220909064802100000/22090906480210000,
92,08466-424,02-02-2021 03:30:10,Stock Blocked,Flipkart_smart fullfilment,,1,1,1,0,0,Order,OD120909038463324000/12090903846332400,Stock blocked for new order OD120909038463324000/12090903846332400,
93,Baj-Mixer-GX8-DLX-750W,02-02-2021 06:59:26,Add Stock,All defective,,1,3,4,0,0,GRN,GRN19468,Stock added for grn GRN19468,akshayjoshi5423@gmail.com
94,1044,02-02-2021 07:27:02,Add Stock,All defective,,1,0,1,0,0,GRN,GRN19469,Stock added for grn GRN19469,akshayjoshi5423@gmail.com
95,1044,02-02-2021 07:28:30,Stock Blocked,All defective,,1,1,1,0,0,Order,Offline Sale00003509,Stock blocked for new order Offline Sale00003509,akshayjoshi5423@gmail.com
96,1044,02-02-2021 07:28:54,Reduce Stock,All defective,,1,1,0,0,0,Order,Offline Sale00003509,Stock reduced for shipped order Offline Sale00003509,akshayjoshi5423@gmail.com
97,B310(BLUE),02-02-2021 08:23:10,Return Stock,Flipkart_smart fullfilment,,1,0,1,1,1,Sales Return,RTN257115,Stock returned for sales return RTN257115,akshayjoshi5423@gmail.com
98,410167-BAJ-GLO-500W-MIX-GRN,02-02-2021 08:26:37,Return Stock,Flipkart_smart fullfilment,,1,1,2,20,20,Sales Return,RTN257117,Stock returned for sales return RTN257117,akshayjoshi5423@gmail.com
99,BAJ-MIX-GRD-REX-500W,02-02-2021 08:30:29,Return Stock,Flipkart_smart fullfilment,,1,2,3,28,28,Sales Return,RTN257118,Stock returned for sales return RTN257118,akshayjoshi5423@gmail.com
100,BAJ-MIX-GRD-REX-500W,02-02-2021 08:32:22,Return Stock,Flipkart_smart fullfilment,,1,3,4,28,28,Sales Return,RTN257119,Stock returned for sales return RTN257119,akshayjoshi5423@gmail.com
101,410176-BAJ-GX3-500W-MIX-GRN,02-02-2021 08:33:39,Return Stock,Flipkart_smart fullfilment,,1,2,3,3,3,Sales Return,RTN257120,Stock returned for sales return RTN257120,akshayjoshi5423@gmail.com
102,410176-BAJ-GX3-500W-MIX-GRN,02-02-2021 08:34:34,Return Stock,Flipkart_smart fullfilment,,1,3,4,3,3,Sales Return,RTN257121,Stock returned for sales return RTN257121,akshayjoshi5423@gmail.com
103,410167-BAJ-GLO-500W-MIX-GRN,02-02-2021 08:36:25,Return Stock,Flipkart_smart fullfilment,,1,2,3,20,20,Sales Return,RTN257122,Stock returned for sales return RTN257122,akshayjoshi5423@gmail.com
104,BAJ-MIX-GRD-REX-500W,02-02-2021 08:42:43,Return Stock,Flipkart_smart fullfilment,,1,4,5,28,28,Sales Return,RTN257123,Stock returned for sales return RTN257123,akshayjoshi5423@gmail.com
105,BAJ-MIX-GRD-REX-500W,02-02-2021 08:45:00,Return Stock,Flipkart_smart fullfilment,,1,5,6,28,28,Sales Return,RTN257124,Stock returned for sales return RTN257124,akshayjoshi5423@gmail.com
106,BAJ-MIX-GRD-REX-500W,02-02-2021 08:46:25,Return Stock,Flipkart_smart fullfilment,,1,6,7,28,28,Sales Return,RTN257125,Stock returned for sales return RTN257125,akshayjoshi5423@gmail.com
107,08466-424,02-02-2021 08:55:12,Return Stock,Flipkart_smart fullfilment,,1,1,2,0,0,Sales Return,RTN257129,Stock returned for sales return RTN257129,akshayjoshi5423@gmail.com
108,08466-424,02-02-2021 09:00:03,Stock Blocked,Flipkart_smart fullfilment,,1,2,2,0,0,Order,OD120910827698903000/12091082769890300,Stock blocked for new order OD120910827698903000/12091082769890300,
109,08466-424,02-02-2021 09:00:04,Stock Blocked,Flipkart_smart fullfilment,,1,2,2,0,0,Order,OD120909917431680000/12090991743168000,Stock blocked for new order OD120909917431680000/12090991743168000,
110,08466-424,02-02-2021 09:00:04,Stock Blocked,Flipkart_smart fullfilment,,1,2,2,0,0,Order,OD220909885894952000/22090988589495200,Stock blocked for new order OD220909885894952000/22090988589495200,
111,08466-424,02-02-2021 09:02:34,Return Stock,Flipkart_smart fullfilment,,1,2,3,0,0,Sales Return,RTN257130,Stock returned for sales return RTN257130,akshayjoshi5423@gmail.com
112,08466-424,02-02-2021 09:30:04,Stock Blocked,Flipkart_smart fullfilment,,1,3,3,0,0,Order,OD120911148654844000/12091114865484400,Stock blocked for new order OD120911148654844000/12091114865484400,
113,Eur-eas-cln-plu-800-sil,02-02-2021 09:36:19,Stock Blocked,All defective,,1,2,2,0,0,Order,Offline Sale00003510,Stock blocked for new order Offline Sale00003510,akshayjoshi5423@gmail.com
114,Eur-eas-cln-plu-800-sil,02-02-2021 09:37:23,Reduce Stock,All defective,,1,2,1,0,0,Order,Offline Sale00003510,Stock reduced for shipped order Offline Sale00003510,akshayjoshi5423@gmail.com
115,baj-maj-neo-icx-cook-blk,02-02-2021 09:44:38,Add Stock,All defective,,1,2,3,0,0,GRN,GRN19470,Stock added for grn GRN19470,akshayjoshi5423@gmail.com
116,SR-WA18-E,02-02-2021 09:44:38,Add Stock,All defective,,1,2,3,0,0,GRN,GRN19470,Stock added for grn GRN19470,akshayjoshi5423@gmail.com
117,Won-5-Blad-Strg-Chop-Red-Wht,02-02-2021 09:44:38,Add Stock,All defective,,5,17,22,0,0,GRN,GRN19470,Stock added for grn GRN19470,akshayjoshi5423@gmail.com
118,41026,02-02-2021 09:44:38,Add Stock,All defective,,1,0,1,0,0,GRN,GRN19470,Stock added for grn GRN19470,akshayjoshi5423@gmail.com
119,Pig-Stv-Non-Stk-Biri-Pot-4-L,02-02-2021 10:22:26,Add Stock,All defective,,1,0,1,0,0,GRN,GRN19471,Stock added for grn GRN19471,akshayjoshi5423@gmail.com
120,41026,02-02-2021 10:22:26,Add Stock,All defective,,1,1,2,0,0,GRN,GRN19471,Stock added for grn GRN19471,akshayjoshi5423@gmail.com
121,Wond-Nutri-CKM-3Jar-Red,02-02-2021 10:22:26,Add Stock,All defective,,1,2,3,0,0,GRN,GRN19471,Stock added for grn GRN19471,akshayjoshi5423@gmail.com
122,150768,02-02-2021 10:22:26,Add Stock,All defective,,1,2,3,0,0,GRN,GRN19471,Stock added for grn GRN19471,akshayjoshi5423@gmail.com
123,Eureak-Fob-Amaze-7L-Water-Purifier,02-02-2021 10:22:26,Add Stock,All defective,,1,1,2,0,0,GRN,GRN19471,Stock added for grn GRN19471,akshayjoshi5423@gmail.com
124,1319,02-02-2021 10:22:26,Add Stock,All defective,,1,2,3,0,0,GRN,GRN19471,Stock added for grn GRN19471,akshayjoshi5423@gmail.com
125,09864-024,02-02-2021 10:22:26,Add Stock,All defective,,1,6,7,0,0,GRN,GRN19471,Stock added for grn GRN19471,akshayjoshi5423@gmail.com
126,41588,02-02-2021 10:22:26,Add Stock,All defective,,1,0,1,0,0,GRN,GRN19471,Stock added for grn GRN19471,akshayjoshi5423@gmail.com
127,5608-524,02-02-2021 10:22:26,Add Stock,All defective,,1,4,5,0,0,GRN,GRN19471,Stock added for grn GRN19471,akshayjoshi5423@gmail.com
128,41587,02-02-2021 10:46:06,Add Stock,All defective,,1,1,2,0,0,GRN,GRN19472,Stock added for grn GRN19472,akshayjoshi5423@gmail.com
129,41110,02-02-2021 10:46:07,Add Stock,All defective,,1,1,2,0,0,GRN,GRN19472,Stock added for grn GRN19472,akshayjoshi5423@gmail.com
130,Maha-Wht-Ele-Kett-Viva-1-8-Sil-Blk,02-02-2021 10:46:07,Add Stock,All defective,,1,7,8,0,0,GRN,GRN19472,Stock added for grn GRN19472,akshayjoshi5423@gmail.com
131,Maha-Wht-HB-116-Wht-Red,02-02-2021 10:46:07,Add Stock,All defective,,1,4,5,0,0,GRN,GRN19472,Stock added for grn GRN19472,akshayjoshi5423@gmail.com
132,08466-424,02-02-2021 11:30:03,Stock Blocked,Flipkart_smart fullfilment,,1,3,3,0,0,Order,OD120911913326243000/12091191332624300,Stock blocked for new order OD120911913326243000/12091191332624300,
133,1171,02-02-2021 12:50:55,Stock Blocked,All defective,,2,5,5,0,0,Order,Offline Sale00003511,Stock blocked for new order Offline Sale00003511,akshayjoshi5423@gmail.com
134,1171,02-02-2021 12:51:25,Reduce Stock,All defective,,2,5,3,0,0,Order,Offline Sale00003511,Stock reduced for shipped order Offline Sale00003511,akshayjoshi5423@gmail.com
135,08466-424,02-02-2021 13:00:04,Stock Blocked,Flipkart_smart fullfilment,,1,3,3,0,0,Order,OD120912428456855000/12091242845685500,Stock blocked for new order OD120912428456855000/12091242845685500,
136,L5-8IAP-6AC1,02-02-2021 13:20:00,Stock Blocked,All defective,,1,2,2,0,0,Order,Offline Sale00003512,Stock blocked for new order Offline Sale00003512,akshayjoshi5423@gmail.com
137,BV-U39E-BSX6,02-02-2021 13:20:00,Stock Blocked,All defective,,1,1,1,0,0,Order,Offline Sale00003512,Stock blocked for new order Offline Sale00003512,akshayjoshi5423@gmail.com
138,GM-7UL8-13G9,02-02-2021 13:20:00,Stock Blocked,All defective,,1,1,1,0,0,Order,Offline Sale00003512,Stock blocked for new order Offline Sale00003512,akshayjoshi5423@gmail.com
139,Nok-5-3GB-Blue,02-02-2021 13:20:00,Stock Blocked,All defective,,1,1,1,0,0,Order,Offline Sale00003512,Stock blocked for new order Offline Sale00003512,akshayjoshi5423@gmail.com
140,P0-GY54-9BPZ,02-02-2021 13:20:00,Stock Blocked,All defective,,1,1,1,0,0,Order,Offline Sale00003512,Stock blocked for new order Offline Sale00003512,akshayjoshi5423@gmail.com
